Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Greenwich Village/Financial District,2008.0,0.293458,0.0,0.0100133511348465,86530.0,205997.305040249,99462.9826789153,0.246,,0.0881787,152633.0,0.142453,0.0206377,0.0522037,0.764291,29.0,29,4429.0,5.7,3156.0,2.3,117469.0,96.0,241.7,5.6,376.7,58.6,75.0,29.4,50.2,45.9,48.0,37.2,28.6,65.8,4.9,8.5,6.7,3.8,5.0,8.8,8390954.978234865,1545017.0638933263,35.09362797197032,,,1.0,0.9909929433742096,6.5004431251755665,5.000886250351132,1.2000000000000002,,,,11.247031061323709,7.200000000000001,3141.0334789187214,63.23346765028134,4.958748631042353,34.0,23526.0,5166.0,104.0,103863.0,164468.19999999998,0.0,0.0,196.0,635.0,
Lower East Side/Chinatown,2008.0,0.140201,0.0028328611898017,0.58356940509915,75983.0,110396.692041801,36820.1744238322,0.301,,0.276948,168794.0,0.358141,0.0794578,0.234866,0.304211,30.0,30,4935.0,6.8,10730.0,7.7,92228.0,74.4,138.1,4.0,244.0,51.6,74.6,27.4,39.0,67.7,50.8,44.8,57.0,101.8,5.2,6.3,5.7,4.8,4.6,9.4,6416892.0111671,1054709.5210300197,15.108845730412897,,,0.85508916048888,0.997908735724304,17.999999999999996,16.0,4.7,8.499999999999998,9.699999999999998,30.299999999999997,16.699999999999996,17.8,3799.992696695458,159.08723154039373,6.948651658242251,4.0,928.0,7954.0,333.0,118113.0,209316.22000000003,64.0,68.0,236.0,920.0,
Morningside Heights/Hamilton Heights,2008.0,0.14091,0.004524886877828,0.647058823529412,51948.0,157019.022211195,36569.4917763018,0.325,,0.27435,123363.0,0.0459781,0.27278,0.415027,0.244822,35.0,35,2906.0,6.2,5858.0,5.3,70643.0,79.4,199.9,5.2,305.7,40.3,60.8,16.8,40.8,53.1,45.3,30.2,25.4,55.6,3.3,8.0,5.2,2.0,3.8,5.8,2698320.16438914,464106.426003681,13.9987827145466,,,1.0,0.99964801126364,11.0,27.0,6.6,9.6,9.9,45.7,18.8,16.6,5033.59,243.97,10.89,1.0,68.0,2971.0,144.0,27907.0,59023.53,11.0,12.0,54.0,124.0,
Central Harlem,2008.0,0.129583,0.0059642147117296,0.986083499005964,60731.0,98618.089311313,33607.7227184433,0.296,,0.278498,125875.0,0.0306574,0.615563,0.185168,0.109331,36.0,36,3496.0,6.2,6941.0,6.3,78574.0,81.6,214.3,6.6,373.7,46.4,68.4,22.0,60.2,85.0,68.7,40.4,36.2,76.6,2.6,4.1,3.3,1.6,2.4,4.0,1624794.9376966902,687473.949495721,20.371770812910203,,,1.0,0.966881770763675,11.0,28.000000000000004,13.000000000000002,,16.700000000000003,81.0,37.400000000000006,33.70000000000001,4013.5918716940796,185.02994820328036,8.124137990164837,9.0,1491.0,5271.0,243.0,65675.0,131328.78,0.0,57.0,291.0,816.0,
East Harlem,2008.0,0.0660461,0.0,0.905325443786982,47305.0,64787.5375728427,33345.4343927866,0.27,,0.271492,126609.0,0.0578,0.327931,0.490984,0.108934,37.0,37,3812.0,7.7,7268.0,7.4,63957.0,74.3,194.7,6.2,306.2,39.1,63.0,16.0,49.3,84.8,62.5,37.0,40.4,77.4,3.2,6.3,4.6,2.2,3.6,5.8,104451.103137644,552456.391592658,16.9691616486755,,,0.9754544484365552,0.9998221336843232,17.0,29.000000000000004,11.400000000000002,,30.500000000000004,82.4,37.9,38.2,5110.5448559978695,334.6504336560176,10.108640243720538,5.0,770.0,12660.0,829.0,128497.0,247723.07,0.0,180.0,535.0,1625.0,
Washington Heights/Inwood,2008.0,0.0860034,0.0,0.567741935483871,74688.0,104832.929948003,40393.5627189523,0.311,,0.24169,203239.0,0.0252265,0.0863466,0.713948,0.163217,38.0,38,9685.0,12.8,11406.0,6.3,113359.0,70.7,220.8,10.6,276.1,41.1,98.0,28.8,31.7,44.5,36.1,40.8,35.2,76.0,6.1,7.1,6.5,6.8,6.4,13.2,657654.320117736,447189.98956663394,10.5942978878578,,,1.0,0.9843946261809841,13.0,18.000000000000004,4.699999999999999,6.5,12.900000000000002,31.800000000000004,17.3,17.0,5548.6526576178385,253.2373093277237,11.610758914811361,15.0,325.0,13037.0,595.0,113188.0,234957.86,60.0,130.0,335.0,1180.0,
Mott Haven/Hunts Point,2008.0,0.0646658,0.139784946236559,1.0,50506.0,77813.7507019196,20603.5603778066,0.333,,0.442426,152295.0,0.00724252,0.280686,0.682682,0.0206179,1.0,1,6346.0,12.5,8488.0,7.9,56689.0,59.5,159.7,8.2,257.8,29.2,49.2,14.8,39.1,60.8,47.5,27.8,30.4,58.2,4.9,4.7,5.4,3.4,3.6,7.0,400652.8242529152,268291.25102880946,22.94031481938508,,,0.993433293463761,0.9977053224109182,23.80534551474445,32.19465448525555,13.399999999999999,,29.140685780858437,159.12138205897782,61.76733249125824,59.13282923538668,6580.049747505624,316.386944868301,12.990859573724332,89.0,196.0,32964.0,1585.0,256389.0,500968.78,126.0,320.0,1795.0,3952.0,
Morrisania/Belmont,2008.0,0.0775181,0.136054421768707,1.0,54448.0,54539.7237872272,22032.2193551671,0.349,,0.430456,152922.0,0.00954081,0.314893,0.62679,0.0411386,2.0,2,7995.0,13.9,9248.0,7.5,65281.0,64.2,196.7,11.2,272.5,38.9,53.8,22.0,46.8,80.7,59.4,34.2,37.8,72.0,4.1,6.0,4.5,3.4,3.6,7.0,357462.8000157718,338133.1432772622,19.538863358150394,,,0.5362485351150315,0.9969717337056196,33.5960541470271,36.36963965685687,12.4,,31.6463981696176,108.86329365099496,48.55325940884081,45.427187340212186,6063.29011463713,236.74032231163702,13.451024679407716,129.0,225.0,44820.0,1750.0,338068.0,739202.9099999999,0.0,251.0,958.0,2281.0,
Highbridge/South Concourse,2008.0,0.0561639,0.104166666666667,1.0,49859.0,52304.4701800816,27366.1890220628,0.377,,0.375088,138648.0,0.0144034,0.30012,0.65447,0.0217746,3.0,3,8174.0,16.7,7197.0,6.9,57777.0,65.3,201.7,9.2,282.1,39.7,52.4,19.4,36.0,73.6,55.6,29.2,34.0,63.2,5.2,3.9,4.5,3.8,2.2,6.0,359776.021918552,301747.631286527,15.6775076488754,,,0.962980191495135,0.994301662984068,18.0,30.999999999999996,9.3,7.6,19.0,83.9,42.3,39.7,7165.039999999999,249.96,14.509999999999998,6.0,1.0,5389.0,188.0,37603.0,75212.41,12.0,29.0,133.0,383.0,
University Heights/Fordham,2008.0,0.0364996,0.25,1.0,45116.0,64025.0445199379,30442.8542933727,0.363,,0.344293,125990.0,0.0128880706,0.306615453,0.6574027046,0.01200717415,4.0,4,8008.0,17.7,6390.0,6.4,54483.0,65.7,195.1,8.8,270.9,36.0,45.0,17.6,42.2,56.5,46.6,23.0,19.6,42.6,2.9,5.6,4.1,2.0,3.0,5.0,435212.92974018404,,14.230826182849702,,,0.9827891406838781,0.993445151339888,20.000000000000004,30.000000000000004,11.700000000000001,8.700000000000001,19.9,69.00000000000001,51.300000000000004,42.800000000000004,7094.431520621994,270.9486267053037,14.873699269833619,10.0,0.0,11102.0,424.0,76159.0,156488.99,24.0,54.0,196.0,702.0,
Kingsbridge Heights/Mosholu,2008.0,0.0926681,0.0655737704918033,0.786885245901639,46061.0,81105.121018568,33106.3574233826,0.375,,0.305718,122723.0,0.0554827,0.197037,0.602177,0.0944811,5.0,5,7924.0,17.6,5625.0,5.8,57645.0,68.6,213.3,8.2,281.4,34.1,47.0,15.4,36.0,60.2,45.5,21.4,24.6,46.0,4.5,5.1,4.8,3.0,3.0,6.0,366292.029902622,148552.680017983,15.8191371251176,,,0.995222489832985,0.898369329174399,18.0,28.999999999999996,6.9,7.6,16.4,66.1,31.4,27.5,6725.549999999999,343.92,13.64,12.0,1.0,6864.0,351.0,51242.0,102058.58,11.0,24.0,103.0,257.0,
Riverdale/Kingsbridge,2008.0,0.285034,0.013215859030837,0.136563876651982,47232.0,98738.7883638276,58493.7783248933,0.262,,0.150482,123077.0,0.0535031,0.123955,0.401838,0.39082,6.0,6,3959.0,9.3,4720.0,5.6,63317.0,82.2,203.9,5.0,338.4,46.9,76.2,17.4,40.3,51.0,44.0,35.6,30.6,66.2,5.9,4.7,5.2,3.8,2.6,6.4,783383.273532331,550308.18057146,10.8455374412821,,,0.631724045185584,0.943361126053434,10.0,19.0,2.5,,,19.900000000000002,17.1,20.9,6322.833724409953,375.99306813313734,11.695515126787724,86.0,92.0,5768.0,343.0,51881.0,91224.92,0.0,0.0,42.0,304.0,
Soundview/Parkchester,2008.0,0.237179,0.107899807321773,0.747591522157996,69379.0,76878.3330449314,39356.0150944517,0.291,,0.214184,183514.0,0.0440566,0.331964,0.572338,0.0316488,7.0,7,7118.0,11.0,10778.0,7.5,88254.0,71.2,193.1,10.4,280.0,33.2,80.6,21.6,38.0,57.3,45.7,37.8,39.0,76.8,5.2,6.3,5.6,5.2,4.8,10.0,414961.02140960697,145070.976580061,15.0483441459797,,,0.701497037386608,0.8925593833569289,12.999999999999998,28.999999999999996,6.7,5.4,11.9,54.5,34.6,34.1,6677.176696116215,302.1505023925233,14.040931482472176,112.0,698.0,8486.0,384.0,61256.0,127089.67000000001,20.0,44.0,204.0,816.0,
Throgs Neck/Co-op City,2008.0,0.541777,0.0854545454545454,0.0163636363636364,49872.0,81148.0620276357,53208.5525061286,0.262,,0.0907383,116692.0,0.0250317,0.255596,0.3135,0.394363,8.0,8,2492.0,5.2,7852.0,8.1,73158.0,83.7,299.2,7.6,320.3,47.1,86.8,19.6,45.8,69.1,54.7,48.0,47.6,95.6,5.6,6.6,6.1,4.8,3.8,8.6,487438.48130900605,567227.5184280401,11.763894159450802,,,0.272116864171379,0.750624487919906,7.0,21.0,2.2000000000000006,,13.300000000000002,32.9,21.600000000000005,27.60000000000001,7181.703101460084,327.4872617408994,13.567528469347845,648.0,136.0,10000.0,456.0,74579.0,139242.74,0.0,64.0,148.0,964.0,
Pelham Parkway,2008.0,0.333695,0.137820512820513,0.490322580645161,48518.0,79605.6674046365,40169.5731311126,0.303,,0.199865,130517.0,0.0893294,0.215367,0.408698,0.272976,9.0,9,4685.0,10.5,6867.0,7.0,68237.0,76.8,297.0,9.6,310.8,40.1,68.2,17.4,38.2,60.2,47.0,32.2,35.8,68.0,4.5,6.1,5.3,3.4,3.8,7.2,475832.803182601,226310.723464896,14.732715480642398,,,0.858007148716747,0.743979257002227,17.0,22.0,4.0,,23.4,55.1,31.8,34.4,6511.25,268.2,13.33,98.0,12.0,4904.0,202.0,37068.0,75315.82,0.0,28.0,65.0,273.0,
Williamsbridge/Baychester,2008.0,0.390152,0.335294117647059,0.264705882352941,51218.0,78852.4588942328,42917.7977114453,0.305,,0.167572,145525.0,0.0225322,0.674152,0.195204,0.0870984,10.0,10,4478.0,9.2,7040.0,6.2,78224.0,80.0,206.9,8.2,302.1,40.9,71.0,22.0,34.1,48.9,40.0,29.4,28.6,58.0,3.4,7.1,4.9,2.6,4.2,6.8,429410.090676981,,13.0536568350584,,,0.747298754959139,0.45816041099146204,8.0,30.0,5.9,7.200000000000001,22.3,69.0,27.599999999999998,28.9,6568.762117899796,373.7770752544459,13.94646031858398,516.0,0.0,10439.0,594.0,76723.0,158918.85,33.0,105.0,321.0,894.0,
Williamsburg/Greenpoint,2008.0,0.176325,0.01,0.555,56521.0,72067.7794615365,43043.1390352105,0.303,,0.307547,149665.0,0.0510273,0.051328,0.250419,0.633635,11.0,11,5580.0,8.7,5364.0,4.2,95227.0,83.7,215.0,8.0,257.4,45.6,47.2,19.8,35.9,47.6,40.7,24.6,23.4,48.0,3.7,5.1,4.4,3.0,3.4,6.4,638312.2969522699,636218.632618266,17.2385834923724,,,0.922287834511525,0.8904099622897751,25.0,19.0,2.8,6.6000000000000005,16.3,21.600000000000005,20.2,14.600000000000001,4639.633390082759,163.02641544672804,8.68941963478366,33.0,1965.0,10416.0,366.0,122458.0,224500.36,39.0,81.0,138.0,582.0,
Brooklyn Heights/Fort Greene,2008.0,0.30369,0.0081716036772216,0.18488253319714,56640.0,127798.245824533,58764.1906252386,0.255,,0.205984,116528.0,0.0549396,0.350328,0.157782,0.408623,12.0,12,3551.0,6.1,5358.0,4.7,91088.0,89.5,210.5,5.0,339.6,54.8,58.2,24.8,43.8,49.0,45.9,28.2,22.2,50.4,3.3,6.5,4.8,2.6,3.4,6.0,2982659.2784860604,827223.7226548251,23.615899411884,,,0.9435549313358301,0.9736579275905121,12.0,20.0,4.7,8.9,10.600000000000001,32.3,21.8,17.0,3173.9473905983796,192.70762540025294,5.279956340683055,48.0,1923.0,4974.0,302.0,96582.0,156713.4,33.0,39.0,117.0,456.0,
Bedford Stuyvesant,2008.0,0.235396,0.128125,0.9375,53525.0,78895.3999033005,34976.0321695465,0.314,,0.282039,141064.0,0.0229896,0.63031,0.193947,0.136349,13.0,13,4417.0,8.5,5014.0,4.7,74790.0,80.7,161.0,7.0,310.6,49.2,55.6,23.6,42.0,70.4,53.0,27.0,30.4,57.4,4.3,4.2,4.1,3.4,2.2,5.2,476529.14387018495,470726.3048069829,23.4174619613949,,,0.8767133404230177,0.9419384379061799,57.0,30.999999999999996,11.299999999999999,9.6,8.899999999999999,65.2,31.3,29.400000000000002,3601.317483274386,146.77277968676614,7.202087970018499,60.0,296.0,3607.0,147.0,50523.0,100157.76000000001,30.0,26.0,206.0,588.0,
Bushwick,2008.0,0.154843,0.146919431279621,1.0,45096.0,73431.4466413891,36932.7495016583,0.347,,0.269253,127496.0,0.0353109,0.219772,0.668194,0.0661668,14.0,14,5335.0,11.6,4743.0,4.4,61859.0,69.3,176.9,6.4,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4,430686.715270886,360430.0018809749,17.9190862224266,,,0.979316726690676,0.765256102440976,30.999999999999996,22.0,7.200000000000001,8.3,13.7,38.8,32.4,26.0,4560.364940051601,215.53959718735874,9.426786903903636,24.0,84.0,5903.0,279.0,63133.0,129441.32,20.0,30.0,92.0,374.0,
East New York/Starrett City,2008.0,0.247268,0.155940594059406,0.561881188118812,54879.0,71725.4119568076,30489.2770058783,0.336,,0.278475,156855.0,0.0456855,0.479551,0.387657,0.0667113,15.0,15,7798.0,14.3,8422.0,7.2,79236.0,78.6,165.5,8.2,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2,418036.5261131051,224051.097933685,18.250788115336203,,,0.7123246745078311,0.8535756965846912,13.000000000000002,30.000000000000004,10.200000000000001,11.8,25.7,82.60000000000001,52.60000000000001,52.80000000000001,6025.90600041411,301.664949004794,13.419422955042842,410.0,740.0,23032.0,1153.0,174826.0,382216.31999999995,105.0,230.0,755.0,3010.0,
Park Slope/Carroll Gardens,2008.0,0.361722,0.0119363395225464,0.0238726790450928,54484.0,144587.01980219,72179.19397155,0.272,,0.109245,118144.0,0.0559825,0.09871,0.171723,0.644603,16.0,16,2458.0,5.0,3865.0,4.1,80534.0,91.5,162.5,3.6,265.5,50.0,38.4,21.8,46.5,45.0,45.6,22.8,16.8,39.6,6.0,6.0,6.1,3.2,3.0,6.2,2089022.0627528797,760171.9172795209,13.810137044226998,,,0.910339346443886,0.854779683572379,12.0,10.0,2.3,,10.8,24.0,20.6,14.5,2753.2440793076703,89.72035564807804,5.014517724133418,50.0,844.0,2946.0,96.0,58890.0,107001.0,0.0,22.0,48.0,244.0,
Sunset Park,2008.0,0.282535,0.015180265654649,0.659003831417625,48434.0,86140.8247576151,41808.294882561,0.319,,0.228158,147678.0,0.253145,0.0324422,0.458267,0.240205,17.0,17,8963.0,19.7,5259.0,4.7,60941.0,59.8,261.5,10.6,267.9,40.8,49.8,20.4,39.0,67.3,50.7,25.2,35.0,60.2,6.6,6.1,6.4,5.0,4.4,9.4,812397.468848343,559570.092000238,10.794332975188,,,0.9439329930893021,0.7753412615076549,45.0,8.999999999999998,3.1,10.999999999999998,17.0,19.1,20.1,14.099999999999998,5834.326836253247,196.4195560752944,12.891469203294735,172.0,1100.0,14198.0,478.0,112066.0,243352.98,60.0,76.0,104.0,516.0,
North Crown Heights/Prospect Heights,2008.0,0.203024,0.0482954545454545,0.465909090909091,52636.0,86816.2752245719,39344.4094163253,0.333,,0.261521,122392.0,0.0196091,0.681098,0.125082,0.14849,18.0,18,3084.0,5.8,4686.0,4.5,77780.0,83.8,230.2,7.0,293.7,52.0,55.8,24.8,40.9,45.7,37.5,27.4,20.0,47.4,4.0,5.7,4.8,2.8,3.0,5.8,673129.331331484,632509.457889067,13.6142220741913,,,0.982119996586157,0.767474609541692,25.0,28.0,9.5,,23.6,69.2,40.7,36.6,4882.26,246.13,10.73,9.0,143.0,3154.0,159.0,29690.0,64601.26,0.0,22.0,70.0,253.0,
South Crown Heights,2008.0,0.177585,0.107142857142857,0.871428571428571,43752.0,84366.3165720878,35702.5476202594,0.368,,0.1878,111833.0,0.0150761,0.769111,0.0686291,0.126975,19.0,19,4004.0,9.6,3445.0,4.0,65455.0,86.0,150.7,4.2,291.0,43.4,58.0,16.8,28.5,52.4,38.7,19.8,23.0,42.8,3.2,7.3,5.1,2.2,3.8,6.0,638312.29695227,522255.515688221,15.6709673697771,,,0.904834030755012,0.70454137036942,21.0,22.000000000000004,6.4,,16.5,62.3,19.3,19.8,4188.57,262.55,8.89,35.0,13.0,2409.0,151.0,27231.0,57513.69,0.0,16.0,62.0,135.0,
Bay Ridge,2008.0,0.39637,0.0229445506692161,0.118773946360153,51494.0,90519.6471147077,52760.5733304493,0.286,,0.121478,121390.0,0.161298,0.00808963,0.130909,0.688492,20.0,20,5025.0,10.5,5819.0,5.8,74082.0,81.1,298.7,7.8,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6,727676.018525587,485842.700566625,9.68647484127891,,,0.743662394685981,0.597920927701574,20.0,8.0,1.7,8.7,10.7,16.8,15.4,15.700000000000001,5090.76,198.48,10.1,146.0,48.0,3437.0,134.0,34453.0,67514.44,11.0,16.0,21.0,163.0,
Bensonhurst,2008.0,0.355376,0.0028328611898017,0.412181303116147,67083.0,69355.5324833957,37316.8974476423,0.336,,0.169348,183083.0,0.353965,0.00722077,0.114451,0.516935,21.0,21,8615.0,13.5,10331.0,6.8,101318.0,73.7,203.5,8.4,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4,641213.7164838709,487438.481309006,8.429724218464058,,,0.8651400259810877,0.4597746291652819,26.999999999999996,10.999999999999998,1.7,5.299999999999999,12.299999999999997,17.099999999999998,15.399999999999999,16.7,6221.143202910177,237.87468515550373,14.394869265698054,352.0,512.0,18438.0,705.0,129314.0,296376.31000000006,40.0,104.0,140.0,980.0,
Borough Park,2008.0,0.347731,0.0094339622641509,0.606918238993711,52059.0,70471.9987191558,37211.285776692,0.395,,0.281792,170292.0,0.10472,0.0196956,0.113669,0.751327,22.0,22,9295.0,20.3,7641.0,7.3,69081.0,76.9,222.7,13.8,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8,812397.4688483429,551269.711004233,7.192806113074589,,,0.9145287784128668,0.396467499667686,18.0,10.0,1.4999999999999998,10.099999999999998,22.9,22.699999999999996,13.2,12.5,6162.90494459571,229.76863483352017,13.026279396837305,162.0,256.0,10112.0,377.0,78875.0,164078.45,38.0,80.0,84.0,284.0,
Coney Island,2008.0,0.289897,0.0115740740740741,0.490740740740741,46379.0,66871.917364345,31771.7044388461,0.312,,0.190245,104974.0,0.093004,0.125974,0.149561,0.621297,23.0,23,4394.0,9.6,11829.0,13.1,68009.0,81.8,244.0,6.0,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4,446238.323960268,553103.408148205,13.4281944967961,,,0.729082973225337,0.850035829840829,21.0,25.0,4.1,,15.1,51.5,26.2,35.6,6710.49,540.3,14.64,34.0,123.0,3105.0,250.0,21937.0,46270.81,0.0,17.0,54.0,280.0,
Flatbush,2008.0,0.241432,0.0055865921787709,0.583798882681564,61829.0,104981.482628021,40596.6620861643,0.328,,0.215522,172592.0,0.0673786,0.333237,0.161833,0.419284,24.0,24,7947.0,13.8,7892.0,6.5,88044.0,82.6,207.8,9.2,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6,931935.9535503131,429622.474586695,13.631032072319702,,,0.9465829270308241,0.297115940831336,21.0,17.0,3.8,8.9,16.1,32.2,17.8,18.800000000000004,6434.022510203133,328.5977235677937,12.927042643293921,240.0,110.0,11983.0,612.0,92278.0,186244.29,28.0,54.0,106.0,414.0,
Sheepshead Bay/Gravesend,2008.0,0.462216,0.0156985871271586,0.1287284144427,58562.0,84489.3367602277,38911.5176222104,0.322,,0.123325,145146.0,0.1443798316,0.06196171919,0.07767090631,0.708567019,25.0,25,5336.0,9.4,9125.0,7.6,91550.0,84.7,229.2,8.0,326.8,51.9,100.6,24.6,49.6,70.7,58.1,56.8,62.6,119.4,7.0,10.0,8.4,6.6,8.6,15.2,609298.101636257,470726.30480698304,10.8720738028556,,,0.58082788671024,0.6561002178649241,25.0,13.999999999999998,1.8999999999999997,10.2,13.2,14.399999999999999,17.000000000000004,21.0,6943.7089255563105,325.2370825291851,14.825924488909198,478.0,200.0,11230.0,526.0,76909.0,161729.09,32.0,54.0,48.0,518.0,
Chelsea/Clinton/Midtown,2009.0,0.250089,0.0,0.0909090909090909,96805.0,140613.286160667,80197.9289686477,0.258,0.0248942,0.127057,147472.0,0.125142,0.0540442,0.158057,0.633883,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,1146701.690169772,29.56593995314809,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,121.0,79387.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
Stuyvesant Town/Turtle Bay,2009.0,0.341274,0.0,0.0,99561.0,147201.699470073,101209.906525916,0.255,0.0174128,0.0685849,155527.0,0.118841,0.0259762,0.0704444,0.765256,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,2628663.67570991,873398.059706534,13.624478524002601,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,9.0,1212.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
Upper West Side,2009.0,0.345373,0.0,0.019438444924406,121744.0,195164.701306872,97833.6624553996,0.236,0.0225462,0.0879804,213137.0,0.0845559,0.0559359,0.11457,0.726561,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,6210579.0140399,1213229.3887891902,9.35006909036635,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,36.0,5430.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
Upper East Side,2009.0,0.3641,0.0037771482530689,0.0,148515.0,173125.522867096,92285.1600506703,0.26,0.0161105,0.0588609,234133.0,0.0704941,0.0266686,0.0619691,0.822349,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,8270180.333579651,1311443.1964530805,8.794681728346152,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,280.0,13230.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
